## ANNUALTOWNELECTION MONDAY,APRIL6,2026 TOWNOFNORWOOD OFFICIALRESULTS

|                                | DIST1   | DIST2   | DIST3   | DIST4   | DIST5   | DIST6   | DIST7   | DIST8   | DIST9   | TOTAL   |
| KEVINJOSEPHSHAUGHNESSY  | 97      |         |         |         |         |         |         |         |         | 97      |
| DAVIDBRIANBLISS         | 79      |         |         |         |         |         |         |         |         | 79      |
| ROBERTJOHNDISARIO       | 93      |         |         |         |         |         |         |         |         | 93      |
| EMILYFAYHOADLEY         | 89      |         |         |         |         |         |         |         |         | 89      |
| GEORGETANIOSHOMSI       | 88      |         |         |         |         |         |         |         |         | 88      |
| BLANKS                  | 728     |         |         |         |         |         |         |         |         | 728     |
| WRITE-INS               |         |         |         |         |         |         |         |         |         |         |
|                         | 4       |         |         |         |         |         |         |         |         | 4       |
| SCATTERING              |         |         |         |         |         |         |         |         |         |         |
| TOTALVOTE               | 1640    |         |         |         |         |         |         |         |         | 1640    |
| TMM-DISTRICT6-1(2YRS)   |         |         |         |         |         |         |         |         |         |         |
| (TOFILLAVACANCY)        |         |         |         |         |         |         |         |         |         | 154     |
| BLANKS                  | 154     |         |         |         |         |         |         |         |         |         |
|                         | 3       |         |         |         |         |         |         |         |         |         |
| TIMOTHYP.LEPHEW         |         |         |         |         |         |         |         |         |         |         |
| SCATTERING              | 7       |         |         |         |         |         |         |         |         |         |
| TOTALVOTE               | 164     |         |         |         |         |         |         |         |         | 164     |
| TMM-DISTRICT6-1(1YR)    |         |         |         |         |         |         |         |         |         |         |
| (TOFILLAVACANCY) BLANKS | 154     |         |         |         |         |         |         |         |         | 154     |
| WRITE-INS               | 10      |         |         |         |         |         |         |         |         | 10      |
| SCATTERING              |         |         |         |         |         |         |         |         |         |         |
| TOTALVOTE               | 164     |         |         |         |         |         |         |         |         | 164     |

## ANNUALTOWNELECTION MONDAY,APRIL6,2026 TOWNOFNORWOOD OFFICIALRESULTS

|                       | DIST1   | DIST2   | DIST3   | DIST 4   | DIST5   | DIST6   | DIST7   | DIST8   | DIST9   | TOTAL   |
|-----------------------|---------|---------|---------|----------|---------|---------|---------|---------|---------|---------|
| TMM-DISTRICT7-8(3YRS) |         |         |         |          |         |         |         |         |         |         |
| EMILYL.CAILLE         | 169     |         |         |          |         |         |         |         |         | 169     |
| MICHAELGERARDCHISHOLM | 159     |         |         |          |         |         |         |         |         | 159     |
| JULIAKATHERINELEONE   | 154     |         |         |          |         |         |         |         |         | 154     |
| ANNEL.MACKIEWICZ      | 126     |         |         |          |         |         |         |         |         | 126     |
| JAMESPHILLIPSTUART    | 123     |         |         |          |         |         |         |         |         | 123     |
| ROBERTE.DRAKE         | 124     |         |         |          |         |         |         |         |         | 124     |
| CHRISTIANM.KETCHEL    | 142     |         |         |          |         |         |         |         |         | 142     |
| MARYPAZ               | 100     |         |         |          |         |         |         |         |         | 100     |
| CHERYLNARDELLI        | 174     |         |         |          |         |         |         |         |         | 174     |
| BLANKS                | 981     |         |         |          |         |         |         |         |         | 981     |
| WRITE-INS             | 12      |         |         |          |         |         |         |         |         | 12      |
| SCATTERING            |         |         |         |          |         |         |         |         |         |         |
| TOTALVOTE             | 2264    |         |         |          |         |         |         |         |         | 2264    |

## ANNUALTOWNELECTION MONDAY,APRIL6,2026 TOWNOFNORWOOD OFFICIALRESULTS

|                        | DIST1   | DIST2   | DIST3   | DIST4   | DIST5   | DIST6   | DIST7   | DIST8   | DIST9   | TOTAL   |
|------------------------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|
| TMM-DISTRICT8-10(3YRS) |         |         |         |         |         |         |         |         |         |         |
| GAILLISALIDONNI        | 160     |         |         |         |         |         |         |         |         | 160     |
| DORISB.LOWE            | 151     |         |         |         |         |         |         |         |         | 151     |
| MEGHANROSEMACMORE      | 163     |         |         |         |         |         |         |         |         | 163     |
| BRIANP.PALMATEER       | 145     |         |         |         |         |         |         |         |         | 145     |
| CRAIGT.REEKIE          | 142     |         |         |         |         |         |         |         |         | 142     |
| BRIANP.SANBORN         | 162     |         |         |         |         |         |         |         |         | 162     |
| JENNIEHEUI-JEONGWOO    | 156     |         |         |         |         |         |         |         |         | 156     |
| MICHAELGEORGEREZEK     | 157     |         |         |         |         |         |         |         |         | 157     |
| DAVIDM.ROMAN-MARTIN    | 162     |         |         |         |         |         |         |         |         | 162     |
|                        | 1395    |         |         |         |         |         |         |         |         | 1395    |
| BLANKS                 |         |         |         |         |         |         |         |         |         |         |
| WRITE-INS              | 57      |         |         |         |         |         |         |         |         | 57      |
| JAMESKIRKER            | 37      |         |         |         |         |         |         |         |         |         |
| SCATTERING             | 20      |         |         |         |         |         |         |         |         |         |
| TOTALVOTE              | 2850    |         |         |         |         |         |         |         |         | 2850    |

## ANNUALTOWN ELECTION

## MONDAY,APRIL6,2026 TOWNOFNORWOOD OFFICIALRESULTS

|                        | DIST1   | DIST2   | DIST3   | DIST4   | DIST5   | DIST6   | DIST7   | DIST8   | DIST9   | TOTAL   |
|------------------------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|
| TMM-DISTRICT9-10(3YRS) |         |         |         |         |         |         |         |         |         | 146     |
| ELEANORA.BRADY         | 146     |         |         |         |         |         |         |         |         | 145     |
| ERICWILSONFLEMING      | 145     |         |         |         |         |         |         |         |         | 137     |
| MICHAELC.LESSARD       | 137     |         |         |         |         |         |         |         |         | 144     |
| PATRICIAE.LESSARD      | 144     |         |         |         |         |         |         |         |         | 143     |
| JEFFREYT.WEIDENAAR     | 143     |         |         |         |         |         |         |         |         | 142     |
| STANLEYJOSEPHOLSSON    | 142     |         |         |         |         |         |         |         |         |         |
| BLANKS                 | 1803    |         |         |         |         |         |         |         |         | 1803    |
