WARD 1, PRECINCT 12 318 1,595 130 WARD 1, PRECINCT 12 188 188 54
WARD 1, PRECINCT 13 399 2,236 103 WARD 1, PRECINCT 13 296 296 32
WARD 1, PRECINCT 14 201 1,173 60 WARD 1, PRECINCT 14 141 141 20
WARD 1, PRECINCT 15 0 0 0 WARD 1, PRECINCT 15 0 0 0
WARD 2, PRECINCT 1 525 2,252 158 WARD 2, PRECINCT 1 367 367 52
WARD 2, PRECINCT 2 494 1,866 141 WARD 2, PRECINCT 2 353 353 65
WARD 2, PRECINCT 3 516 2,043 140 WARD 2, PRECINCT 3 376 376 59
WARD 2, PRECINCT 4 503 1,865 123 WARD 2, PRECINCT 4 380 380 38
WARD 2, PRECINCT 5 519 1,833 169 WARD 2, PRECINCT 5 350 350 54
WARD 2, PRECINCT 6 419 1,623 127 WARD 2, PRECINCT 6 292 292 34
WARD 2, PRECINCT 7 260 1,414 47 WARD 2, PRECINCT 7 213 213 16
WARD 2, PRECINCT 8 250 1,928 30 WARD 2, PRECINCT 8 220 220 10
WARD 3, PRECINCT 1 494 1,833 130 WARD 3, PRECINCT 1 364 364 50
WARD 3, PRECINCT 2 475 1,949 130 WARD 3, PRECINCT 2 345 345 44
WARD 3, PRECINCT 3 233 1,281 56 WARD 3, PRECINCT 3 177 177 21
WARD 3, PRECINCT 4 258 1,434 53 WARD 3, PRECINCT 4 205 205 16
WARD 3, PRECINCT 5 447 1,885 64 WARD 3, PRECINCT 5 383 383 29
WARD 3, PRECINCT 6 230 1,594 55 WARD 3, PRECINCT 6 175 175 27

Page: 10 of 53 11/5/2025 10:30:11 AM
=)
B no) = a §
3 2G ~ = = og

Precinct = 2 8 & Precinct = 8 iS =
WARD 3, PRECINCT 7 382 1,492 74 WARD 3, PRECINCT 7 308 308 35
WARD 3, PRECINCT 8 369 2,547 43 WARD 3, PRECINCT 8 326 326 22
WARD 3, PRECINCT 9 341 1,237 63 WARD 3, PRECINCT 9 278 278 18
WARD 3, PRECINCT 10 398 2,471 52 WARD 3, PRECINCT 10 346 346 29
WARD 3, PRECINCT 11 340 1,574 72 WARD 3, PRECINCT 11 268 268 20
WARD 3, PRECINCT 12 562 2,019 96 WARD 3, PRECINCT 12 466 466 37
WARD 3, PRECINCT 13 338 1,254 73 WARD 3, PRECINCT 13 265 265 29
WARD 3, PRECINCT 14 496 1,819 72 WARD 3, PRECINCT 14 424 424 28
WARD 3, PRECINCT 15 269 1,806 39 WARD 3, PRECINCT 15 230 230 18
WARD 3, PRECINCT 16 513 2,319 67 WARD 3, PRECINCT 16 446 446 19
WARD 3, PRECINCT 17 279 1,274 44 WARD 3, PRECINCT 17 235 235 17
WARD 4, PRECINCT 1 368 1,449 58 WARD 4, PRECINCT 1 310 310 30
WARD 4, PRECINCT 2 339 1,481 67 WARD 4, PRECINCT 2 272 272 35
WARD 4, PRECINCT 3 461 1,884 66 WARD 4, PRECINCT 3 395 395 30
WARD 4, PRECINCT 4 492 1,920 85 WARD 4, PRECINCT 4 407 407 35
WARD 4, PRECINCT 5 370 1,678 55 WARD 4, PRECINCT 5 315 315 23
WARD 4, PRECINCT 6 221 1,402 36 WARD 4, PRECINCT 6 185 185 16
WARD 4, PRECINCT 7 302 1,297 28 WARD 4, PRECINCT 7 274 274 13
WARD 4, PRECINCT 8 261 1,507 25 WARD 4, PRECINCT 8 236 236 7
WARD 4, PRECINCT 9 76 617 5 WARD 4, PRECINCT 9 71 71 1
WARD 4, PRECINCT 10 51 468 3 WARD 4, PRECINCT 10 48 48 2
WARD 4, PRECINCT 11 9 127 2 WARD 4, PRECINCT 11 7 7 2
